name,median_income,median_rent,rent_burden_pct,White_share,Black_share,Hispanic_share,Asian_share,Other_share
Century City,127773.90338362214,3023.0035730666586,25.491968912095267,69.55420551815162,2.7869779579674434,6.177807618266114,15.342637122275622,6.13837178333921
Chatsworth,125799.2821805311,2505.520821686323,24.83663490602358,40.59963735720244,7.787251057819086,24.997249619062494,20.69397572352086,5.921886242395118
Chatsworth Reservoir,94616.07247880481,2671.9380597797117,23.353857881872038,50.01213079450873,4.748201877528546,29.436560295063217,3.0774254927213436,12.725681540178158
Chesterfield Square,64773.0031455374,1560.391677866862,44.17655040848857,2.492413223369044,32.8303828591518,60.828863420330045,1.1004549675151045,2.7478855296340043
Cheviot Hills,206382.39540197895,2524.780465165623,22.040106536676944,71.01003908027367,1.4117460280367626,10.070332371146666,11.196771883757792,6.311110636785116
Chinatown,69931.47188694257,2047.2463133485376,25.783929348551904,14.697479225546612,14.729782438158516,31.47406494467995,34.58682310234037,4.511850289274548
Cypress Park,67679.5523748019,1493.0433933723298,30.428276523034288,12.048075228967567,1.0967128203336183,76.53454973310252,8.552489789485684,1.7681724281106028
Del Rey,110318.97157430634,2304.494658736672,24.89278542849327,43.48647457293426,4.425236283465958,32.4717334790236,12.622285718656475,6.9942699459197115
Downtown,64533.74841685528,1919.8964129657927,25.925691811285695,24.152351174713544,17.64206298739596,26.155142431131267,25.785511636314588,6.264931770444633
Eagle Rock,126739.64988377813,2066.471106029182,23.9010297771148,39.82802663770907,1.883633983815769,30.02950179749763,21.43226752981237,6.826570051165163
East Hollywood,53952.06259398891,1564.517077042672,30.813562869468537,25.19321686531747,3.3806800455987744,52.631449743464145,16.28229373536887,2.5123596102507406
Echo Park,78651.03487043905,1789.8214586896968,26.74922370097054,31.29758034355898,2.9800228183813835,48.36705752083774,12.318417308139919,5.036922009081991
El Sereno,83083.86812148597,1574.6479459400055,27.332503189130314,9.258628926190031,2.0836597102145618,66.70181146166058,19.770440733281042,2.1854591686537788
Elysian Park,57045.18930568863,1629.3179410905027,26.704391238229256,16.068087736852334,1.3507371294767592,40.07747499230516,40.41739262177482,2.0863075195909175
Elysian Valley,78996.91615643236,2033.1249820511623,22.332076354749308,19.732769370335642,1.326153832506294,41.48454022644616,32.68183824841921,4.774698322292693
Encino,120267.52599804003,2079.5394021778566,30.039132005097958,72.6430298560253,2.5683861975520177,13.101051381497554,5.611111897445775,6.076420667479354
Exposition Park,54305.24722325599,1462.0436324054997,30.89683953106827,6.227787726345622,18.73700463240138,65.17019198707929,6.638371117617161,3.226644536556549
Fairfax,113103.80345637546,2458.8901587114005,24.347462109704978,69.51532938298328,3.8131372714851217,10.01050292655567,11.449571012157266,5.211459406818662
Florence,49876.045476748564,1402.5879791338111,32.216752541788175,0.4948869150993511,14.571955766096476,83.54810925660446,0.4654313451111281,0.9196167170885872
Glassell Park,79504.70144611738,1810.2972055029645,29.800517763241306,35.76100126476908,2.017882271871189,42.13831173248395,16.533416422569292,3.54938830830649
Gramercy Park,66996.2105214432,1481.6316525551654,40.40279745731139,2.4957721016226917,50.11355583919985,41.17853761133201,0.31708569727819913,5.895048750567241
Granada Hills,114359.93022322303,2381.301280293731,34.33463947389919,43.752570683335136,3.4450379851297486,30.807419325574372,17.2623671327568,4.73260487320394
Green Meadows,51987.863190045435,1565.7338022939934,42.37410519805285,0.25658719761800164,18.49262803959411,79.19104881053741,0.45416924394585034,1.6055667083046217
Griffith Park,93790.40244511492,1922.4575989595396,29.898072280516164,49.06710923189104,2.4993816601986145,31.883366583263125,9.952994657673893,6.597147866973316
Hancock Park,129895.20682113207,2722.2768315222875,33.93637872482568,63.83635152306197,3.849808719437931,11.904844951709846,16.594177858715984,3.814816947074263
Hansen Dam,60518.239854579755,766.4527135777761,11.493869869414784,22.62777438416151,3.8051776082146387,43.72052369694146,23.656563774002993,6.1899605366793935
Harbor City,86021.08433326743,1578.104347242047,22.030974046873123,22.436866200943197,9.42963628489629,42.72835468779584,20.1136648343221,5.291477992042559
Harbor Gateway,85644.39413293406,1805.7998438950187,26.199421446736896,10.386906331674481,16.827788848508934,43.99726648449074,24.719667392329175,4.06837094299668
Harvard Heights,53011.290996119045,1452.5532054423604,30.9498817465076,6.354160635643859,7.769920856862113,63.100614083566434,20.791269716046124,1.9840347078814773
Harvard Park,65916.21142193496,1488.899429206574,40.55015044675946,2.121433259829134,28.418127228747025,66.18419566228634,0.9549592687562632,2.3212845803812314
Highland Park,89879.32469842774,1769.1156018790896,24.58313945087794,23.347760940721024,1.9909048449218576,58.256696233113274,12.218489632144294,4.18614834909954
Historic South-Central,49366.18028643811,1368.312678512657,35.24355260450287,1.5794670503540966,5.082486264845361,91.22265386866665,0.9075757975741705,1.207817018559723
Hollywood,61563.418871868125,1813.4157570742677,29.83684908704898,45.155403185399265,7.40887980143963,32.799193415612635,8.781143546183614,5.855380051364847
Hollywood Hills,106457.75796614762,2151.0044356438098,30.00875868125332,66.94902975019752,5.932243519071585,15.065149808041042,6.3202574351030885,5.733319487586755
Hollywood Hills West,139309.89765032864,2309.906401551902,33.82059284471323,72.06000097553309,2.6997650810902667,12.277484515871986,6.142320752560418,6.820428674944239
Hyde Park,68224.40454812905,1535.9952475779576,35.683120343972625,5.490834961478496,52.85732522755893,34.7403469781943,1.5800024098656245,5.3314904229026325
Jefferson Park,60157.92382865356,1469.8097363196275,32.113241898910886,8.819114876768458,25.81622760129787,56.51789868765384,5.208091417159313,3.638667417120516
Koreatown,50675.151497263956,1594.6465527637206,32.345503231081864,9.504637570829704,5.5919782987740065,44.560655261304234,37.21809596452843,3.124632904563626
Lake Balboa,93291.247020637,2186.952036326644,38.103463630740166,37.81419775830878,3.379124656281361,44.93877306606145,8.623079584443168,5.244824934905239
Lake View Terrace,86862.69666580553,1592.6631255417326,26.9313428596549,19.00535353900871,9.031101782015462,62.66083495518701,5.3212979465831705,3.9814117772056363
Larchmont,88543.72305500359,2048.694421772749,28.47952377191489,38.76744649510666,3.9865754728052263,25.416167074295533,25.279392576294637,6.550418381497934
Leimert Park,60810.94238075081,1582.6925885090088,34.04429184811587,6.147402566458192,62.155707679362806,26.094672397018172,2.29425504220451,3.3079623149563133
Lincoln Heights,57093.10882354409,1413.2613519063786,29.03827481844225,6.172231688418767,1.856257012498822,64.60997846287425,25.837145200535794,1.5243876356723547
Los Feliz,112221.8567623171,2100.4995617659392,25.60052445233042,64.17477163884912,3.126221643716724,16.235593812741563,11.523377122407613,4.940035782284994
Manchester Square,53488.88099751747,1278.7802503421904,44.89585031212294,2.9209083670901417,60.02481075624504,32.25285457157826,0.3914191385529985,4.410007166533546
Mar Vista,108648.1676496604,2236.569238317983,26.567333903105013,53.37809106024076,3.8845190941089505,22.892813654612223,12.960754525393401,6.8838216656446605
Mid-City,77347.39693576915,1785.176611246094,26.40162231717601,20.535891717855755,19.85182154738318,47.485562430957636,7.0737391734784465,5.052985130324984
